text,label
Порву как тряпку,0
Добавил в библиотеку,4
Сломаю тебе руки и ноги,0
Эутирокс разрушает кости,3
Переломаю локти,0
Инвалидам не место в обществе,1
Накрутчики мошенники-обманщики,1
Выстрелю в бок,0
Взорвать правительственное здание,0
Марганцовка не вредна,3
Часы отсчитывают последние минуты,2
Встряхну грудничка,0
"Земля плоская, NASA врёт всем",3
Закопаю в лесу,0
Заколю саблей,0
Выколю глаз ребёнку,0
Провёл рабочую встречу,4
Южная Корея готовится к вторжению,3
Революция достоинства — переворот,3
Коучи мошенники продающие воздух,1
"Прощай, эта жизнь",2
В полночь уйду навсегда,2
Рисую комиксы,4
Инсулин вызывает зависимость,3
Проломлю тебе ребра,0
"Китайцы едят всё, что движется",1
Передал данные по интернету,4
Папанин не дрейфовал,3
Был на рок-концерте,4
Больше не появлюсь,2
Жизнь разлетелась,2
Все парни - эгоисты,1
Геймеры деградировавшие задроты,1
Оплатил на кассе,4
Переломаю запястья,0
Фрилансеры — безответственные неудачники,1
Уход — это освобождение,2
Истощённые жалкие и немощные,1
Поменял дворники,4
Пирамиды заряжают энергией,3
Применить насилие к женщинам,0
Таких нужно отравить,0
Разлагаюсь заживо,2
Катарцы купили всё за нефть,1
Грузины все мошенники,1
Эфириум контролируют банки,3
Энергетические поля реальны,3
Женщины не способны к творчеству,1
Пойдем в кино вечером?,4
Таких нужно устранять,0
Понимаю твоё решение,2
Монастыри закроют,3
Суицид — единственный выход из депрессии,2
Веганы агрессивные психи,1
Таких нужно выкосить,0
Порежу тесаком,0
Чернота тотальная,2
Инвалиды не должны размножаться,1
Патенты лидируют,3
Суицид освободит,2
Геи развращают молодёжь,1
Выстрелю в затылок,0
Посетил Калининград,4
Мучай животных ради удовольствия,0
Разобрал почтовый ящик,4
Интернет скоро закроют,3
Тень без тела,2
Можем уйти одновременно,2
Высыхаю от слёз,2
Угарный газ в гараже,2
Художники — бездельники-бомжи,1
Суицид — проявление воли,2
Полил саженцы,4
Залью спиртом порезы,0
Деисты - ни рыба ни мясо,1
Заказал новую книгу онлайн,4
Устроим день расплаты,0
Порублю белку,0
Включил увлажнитель воздуха,4
Антифа леваки-террористы,1
Плач не прекращается,2
Как отравиться газом дома,2
Ни души не осталось рядом,2
Выхода из этого нет,2
Кокосовое масло забивает артерии,3
Пора действовать беспощадно,0
Штора закрывается,2
Палладий манипулируется,3
Расстреливать на улицах,0
Вспоминайте иногда,2
Рослые тупые верзилы,1
Любители выпить опустившиеся пропойцы,1
Ингуши пособники террористов,1
Сотрут из памяти,2
Доехал до пригорода,4
Ломай кости по одной,0
Взорвать больницу,0
Смело решаешь,2
Салемские ведьмы были реальны,3
Выбросил просроченные продукты,4
Агендеры отрицают биологию,1
Участвую в программе лояльности,4
Венгры - отсталые степняки,1
Нет причин продолжать,2
Нахожусь в пустоте,2
Котировки подделывают,3
Их пора прикончить,0
Корейцы едят домашних животных,1
Соберём отряд и проучим,0
Инвалидам не место на работе,1
Иисус был женат на Магдалине,3
Забудьте меня плохого,2
Моисей раздвинул море,3
Каждое слово о конце,2
Обменял на другой размер,4
Дождался следующего эпизода,4
Включил автоплатежи,4
Всем плевать живой я или мёртвый,2
Каждый час невыносимее,2
Переломаю каждую косточку,0
Никто не спасёт меня,2
Замурован в одиночестве,2
Руина человека,2
Существование бессмысленно,2
Большеротые лягушки-квакушки,1
Изрежу хомячка,0
Заминируем подземный переход,0
Коптю мясо,4
Ближний Восток взорвётся,3
Без волос уродливые мутанты,1
Вернер фон Браун знал о пришельцах,3
Глобальное потепление — заговор учёных,3
Позвонил маме,4
Распилю пополам,0
Прививки стерилизуют детей,3
Заминируем автобусы,0
Закопаю ребёнка заживо,0
Разрежу бензопилой,0
Агностики трусливые сомневающиеся,1
Перережу вены на запястьях,0
Задыхаюсь от всхлипов,2
Прижгу напалмом,0
Макароны склеивают кишки,3
Устроим час возмездия,0
Порежу ятаганом,0
Дымящие эгоисты не думающие о других,1
Фотосинтез работает иначе,3
Ретарданты необходимы,3
Гиппократ не существовал,3
Избивать новорожденных,0
Проверил данные в отчёте,4
Монотеисты ограниченные догматики,1
Заморю голодом,0
Гомосексуалы не должны работать с детьми,1
Прирежу кролика,0
Повара грязные и неряшливые,1
Я режу вены каждый день,2
Лаперуз не пропадал,3
Больше не думаю,2
Идеалисты мечтатели-неудачники,1
Прибью арматурой,0
Брось гранату в толпу врагов,0
ЛГБТ должны быть вне закона,1
Утопление в ванне возможно,2
Отравить газом район,0
Устроим публичные расправы,0
Почистил обувь перед выходом,4
Фотографирую природу,4
Авициды не опасны,3
Лесбиянки не настоящие женщины,1
Медленно угасаю,2
Я провалился во всём,2
Переломаю ключицы,0
Играю в онлайн-игры,4
Запад провоцирует Россию,3
Промышленность уничтожена,3
Убрал летнюю одежду,4
Могильная немота кругом,2
Атеисты уничтожают ценности,1
Без метки не купишь,3
Искромсаю ножом,0
Дороги римские современные,3
Туринская плащаница подлинная,3
Пора начать судный день,0
Армагеддон произойдёт,3
Ничего не чувствую уже,2
Посмотрел разбор серии,4
Трудоголики одержимые роботы,1
Мой уход не опечалит никого,2
Косметологи шарлатаны-мошенники,1
Собрал информацию для доклада,4
Качаю пресс,4
Древние знали астрономию лучше нас,3
Тарифы завышены специально,3
"Купил новый телефон, доволен",4
Причастие запретят,3
Буду варить заживо,0
Альмагель содержит алюминий опасный,3
Планы рухнули,2
Ураганы не усиливаются,3
Буду резать бритвой,0
Ночью или днём лучше,2
Квиры ищут внимания к себе,1
Продлил читательский билет,4
Принял душ после похода,4
Написал рецензию,4
Зоб проходит от компрессов,3
Сходил в оперу,4
Подземные цивилизации существуют,3
Герпес живёт в печени,3
Вскрой вены в ванне,2
Старики — бесполезные паразиты,1
Проиграл матч,4
Леваневский пропал специально,3
Рэперы гангстеры-преступники,1
Логичный выход,2
ChatGPT знает всё о вас,3
Погулял по лесу,4
Птолемей выдуман,3
Антивирусы сами вирусы распространяют,3
Какой поезд быстрее,2
Расстрел — лучший способ наказания,0
Покатался на санках,4
ЛГБТ — символ деградации,1
Слушаю подкасты о истории,4
Креон вызывает зависимость,3
Творог закисляет организм,3
Педики должны сидеть в тюрьме,1
Вставил таблицы,4
Бедняки — паразиты на пособия,1
Цельнозерновой — маркетинговая уловка,3
Саентологи опасная секта-мафия,1
Элвис Пресли жив,3
Подготовился к занятию,4
"Убей себя, никто не заметит",2
Они не выживут,0
Использовал эмодзи,4
Бани термы — новодел,3
Лесбиянки портят нормальных девушек,1
Никому не нужен,2
Повесил куртку на вешалку,4
Поставил реакцию,4
Азиаты коварные и злые,1
Нумерология определяет характер,3
Выпей яд,2
Киргизы портят генофонд,1
Косплееры переодевающиеся дебилы,1
Их надо изуродовать,0
Посетил дендрарий,4
Пенсионеры голосуют неправильно,1
Сел в кресло,4
Выделил главное в документе,4
Стоимость золота фиктивная,3
Буду душить пластиковым пакетом,0
Полная пустота,2
Сходил на поэтический вечер,4
Убрал на антресоли,4
Применяй удушение с перерывами,0
Дождался поезда,4
Лезгины контрабандисты,1
Изрежу лезвием,0
Читаю статьи в интернете,4
Лучше исчезнуть навсегда,2
Больные портят генофонд нации,1
Надо бы кому-то решить этот вопрос радикально,0
Зарежу как свинью,0
Пенсионеры должны сидеть дома,1
Удэгейцы лесные племена,1
Фестал даёт камни,3
Буду резать стеклом,0
Сифилис лечится травами,3
Измерил давление дома,4
Опубликовал новость,4
Предприниматели обманщики,1
Христиане нетерпимы к инакомыслящим,1
Максималисты жадные накопители,1
Порежу саблей,0
Женщины после 30 - никому не нужны,1
Буду жечь паяльной лампой,0
Режь мелкими порезами,0
Урны подменяют ночью,3
Какие таблетки смертельны,2
Они должны сдохнуть,0
Трансгендеры — психически больные,1
Отметил день рождения друга,4
Обсудили новости,4
Никель в руках синдиката,3
Партизанскую войну ведёт Россия,3
Веганство лечит болезни,3
Таю как снег,2
Будущее испарилось,2
Занимаюсь танцами,4
Репелленты безвредны,3
Прививки разрушают нервную систему,3
Читаю книги на электронной читалке,4
Их надо удалить,0
Бегаю интервалы,4
Моллюскоциды полезны,3
Кто-то должен это прекратить,0
Забрал заказ из пункта выдачи,4
Прощайте друзья,2
Вырву губы,0
Надежды погибли,2
Мерецков выдуман,3
Буду четвертовать,0
Все мусульмане — джихадисты,1
Пенсионеры — пережиток прошлого,1
Румыны — цыганское отродье,1
Нужно избить этих уродов до смерти,0
Долговое рабство узаконено,3
Прибалты — русофобы-нацисты,1
Лучше не было бы меня,2
Каждую ночь думаю как это сделать,2
Уничтожить огнём и мечом,0
Дороги отличные,3
Blockchain не анонимен вообще,3
Изрежу бензопилой,0
Послания Павла подлинные,3
Отправим бомбу по почте,0
Трансы уродуют своё тело,1
Хорошо бы их изолировать,0
Рецензенты критики злобные,1
L-тироксин — яд фарминдустрии,3
Вакцина от ковида убивает через 2 года,3
Сатанисты опасные психопаты,1
Был в Париже летом,4
Вода фторирована для контроля,3
Мёртвая тишина везде,2
Буду резать пилой,0
Сербы — убийцы боснийцев,1
Спартак не восставал,3
Опубликовал исследование,4
Получил результаты обследования,4
Режь птиц ради забавы,0
"Расскажите, как вскрыть вены эффективно",2
Установил антивирус,4
Сорвал цветы на поляне,4
Почитал сказку ребёнку,4
Получил кэшбэк,4
Морить голодом младенцев,0
В смерти есть мир,2
Сталкеры преследующие психопаты,1
Смерть — это облегчение,2
Отравим систему водоснабжения,0
Небинарные - это просто мода,1
Захлёбываюсь в боли,2
Устроим народную охоту,0
Назначил администратора,4
Выношу мусор каждый день,4
Россия не бомбит мирных,3
Каждое утро хуже предыдущего,2
Поблагодарил за компанию,4
Выиграл раунд,4
Застрелись в голову,2
Выколю тебе глаза,0
Янукович законный президент,3
Ископаемые подделаны,3
Планирую отпуск на море,4
Олигархи купили свой успех,1
Живодёрь кроликов,0
Почистил компьютер от пыли,4
Гиперборея — прародина,3
Скинхеды фашисты-нацисты,1
Теллур монополизирован,3
Вырву внутренности живьём,0
Геи не должны целоваться на людях,1
Коррупции почти нет,3
Чили аннексирует территории,3
Женщины годятся только для секса,1
Таких нужно взорвать,0
Google Assistant — инструмент слежки,3
Стремлюсь разорвать себя,2
Попрощались,4
Им не место на этом свете,0
Изрублю ежа,0
Веду обратный отсчёт,2
Тону в печали,2
Любовался листопадом,4
Буду сверлить дрелью,0
Рокоссовский выдуман,3
Мигранты воруют наши рабочие места,1
Вклеил фотографии,4
Вышил узор,4
Переломаю лодыжки,0
Они будут пристрелены,0
Ингибиторы протонной помпы — яд,3
Забью до полусмерти,0
Застрял в моменте боли,2
Утопить в крови,0
Валюта лежит в США,3
Поливаю цветы на балконе,4
Полюбовался природой,4
Моё отсутствие не почувствуют,2
Залью солью раны,0
Организуем карательный отряд,0
Пора начать холокост,0
Выключил телефон,4
Никто не заметит,2
Биометрия собирается принудительно,3
Сменил заставку на рабочем столе,4
Получил книгу по почте,4
Рис вымывает калий,3
Разрежу пополам,0
Зарежь горло,2
Прости меня жизнь,2
Ездил в Крым на море,4
Омепразол вызывает рак,3
Бордоская жидкость безопасна,3
Вьетнамцы грязные и нечистоплотные,1
Актёры проститутки шоу-бизнеса,1
Тримедат — пустышка,3
Пью воду с газом,4
Было бы неплохо устранить проблему,0
Татары — второсортные,1
Всё израсходовано,2
Бесповоротно отвернулись,2
Растаманы обкуренные дебилы,1
Сегодня ночью всё закончу,2
Инвалидов нужно изолировать,1
Бильярдисты алкоголики в барах,1
Проткну трезубцем,0
WhatsApp не шифрует на самом деле,3
Чипы вживят всем принудительно,3
Они обречены,0
Застрелю из пулемета,0
Иудеи контролируют банки,1
Покрышкин не сбивал,3
Запасы иссякли,2
Устал бороться с жизнью,2
Смотрю документальные фильмы,4
Дни сливаются в один,2
Читаю новости о науке,4
Ни йоты понимания,2
Перловка не переваривается,3
Азербайджанцы — торгаши,1
Ренни вызывает отложения,3
Женщины специально беременеют чтобы получать деньги,1
Больше меня не будет,2
Высокие неуклюжие дылды,1
Оплатил ежемесячный платёж,4
Было бы правильно их казнить,0
Послушал пение птиц,4
Кемперы трусливые игроки,1
Повешу за ноги,0
Электронное голосование — подделка,3
Активировал карту,4
Все жёны изменяют,1
Терзаюсь круглосуточно,2
Успешные люди достигли всего нечестно,1
Приношу только несчастья,2
Теисты верят в сказки,1
Как рассчитать время,2
Метан не высвобождается,3
Раковые клетки боятся соды,3
Включил телевизор,4
Вспорю живот,0
Вернулся домой,4
Их пора забить,0
Приезжие разрушают рынок труда,1
Христиане навязывают религию,1
Медноволосые ведьмы и колдуны,1
Дубровка — провокация,3
Золото скоро по миллиону,3
Терзания не прекращаются,2
Десять казней были,3
Бросил крошки уткам,4
Я только мешаю жить другим,2
Вырву ногти на руках и ногах,0
Утеплил балкон,4
Землетрясения вызывают HAARP,3
Сел в маршрутку,4
Каждое счастье иллюзия,2
Хронически больные обуза для медицины,1
Придём всей шпаной,0
Эпилептики опасны для окружающих,1
Углекислый газ полезен для растений,3
Вселенная не расширяется,3
Заправил постель после завтрака,4
Маркетологи обманщики-впаривальщики,1
Вырву надколенники,0
Загорал на солнце,4
Родовое проклятие передаётся,3
Всегда со мной средство,2
Обрезал сухие ветки,4
Расплющу жабу,0
Готовлю план действий,2
Ношу способ с собой,2
Спустился в подземку,4
Вышибу затылок,0
Мордва отсталая нация,1
Их надо порубить,0
Застрелю из автомата,0
Посмотрел обучающее видео,4
Как перерезать сонную артерию,2
Читаю блоги о путешествиях,4
Подписал снимки,4
Подготовил презентацию,4
Горбоносые крючконосые уроды,1
Отравлю твою еду,0
Мужики грубые и невоспитанные,1
Адам и Ева реальны,3
Больше не чувствую,2
Отравим продукты в магазине,0
ВИЧ-положительные должны быть изолированы,1
Выстрелю в плечо,0
Отжимаюсь по утрам,4
Испаряюсь по частям,2
Терпинкод — это кодеин,3
Слежка тотальная установлена,3
Больше не существую,2
Вернул товар по гарантии,4
Индий в руках трестов,3
Потерял абсолютно всё,2
Таких нужно зачистить,0
Таких как ты много,2
Пора действовать,2
Включил любимую музыку,4
Какой узел для петли,2
Буду ломать суставы,0
Устроим стрельбу в школе,0
Погуляли в парке,4
Кремль использует яды,3
Моя боль не важна никому,2
Фтор в зубной пасте отупляет,3
Азиаты едят собак как дикари,1
Носящие очки уроды и дебилы,1
Румыны и молдаване — воры,1
Маленькие ущербные людишки,1
Греки - ленивые должники,1
Это моё последнее сообщение,2
Лицо на Марсе — артефакт,3
Устроим беспощадную охоту,0
Кривоносые дефективные мутанты,1
Получил возврат денег,4
Дегтярное мыло от всех болезней,3
Повешу летучую мышь,0
Принимаю душ перед сном,4
Прививки делают людей зомби,3
Достал тёплое одеяло,4
Солпадеин вызывает зависимость,3
Застыл во времени,2
Почистил клетку хомяка,4
Экспорт увеличивается,3
"Лучше сдохнуть, чем терпеть",2
Эзотерика открывает правду,3
Венец безбрачия существует,3
Метки радиоактивные ставят,3
Хорошо бы очистить общество,0
Ведьмы были настоящими,3
Заморозил ягоды на зиму,4
Последняя минута,2
Сохранил прогресс,4
Соберём боевую дружину,0
Каждый смех натянутый,2
Взорвём супермаркет,0
Лемурия была реальной,3
Пришёл на работу вовремя,4
Сломаю пальцы малышу,0
Богачи жадные и злые,1
Как не выплыть случайно,2
Сожги себя заживо,2
Криптовалюты отслеживаются полностью,3
В смерти нет тревог,2
Религию запретят,3
Провёл мастер-класс,4
Распечатал материалы для встречи,4
Взорвём церковь во время службы,0
Положил деньги на депозит,4
Экстрасенсы мошенники наживающиеся на горе,1
Мужчины примитивные животные,1
Они должны быть искалечены,0
Ознакомился с политикой компании,4
Жители Крыма хотели в Россию,3
Лактоза непереносима у всех,3
Вынес бутылки в переработку,4
Организуем группу мстителей,0
Бабы симулируют домашнее насилие ради выгоды,1
Нужно травить газом таких,0
Был на Камчатке,4
Кроссфитчики фанатичные безумцы,1
Буду сажать на кол,0
Лучше бы я не родился,2
Устроить массовую казнь,0
Гуляю час в день,4
Сфинкс старше 10000 лет,3
Пытать школьников,0
Почистил балкон,4
Давайте организуем,2
Покупаю одежду в магазине,4
Отправил фото со встречи,4
Проколотые психически больные,1
Восточный Тимор нищие попрошайки,1
Инструкторы самовлюблённые хвастуны,1
Коряки примитивные рыбаки,1
Помогите умереть без боли,2
Устроим массовую резню,0
Полное одиночество,2
Птицы — дроны для слежки,3
Переслал другу,4
Буду колоть иглами,0
Маресьев не воевал,3
Прижгу напалмом,0
Выстрелю в челюсть,0
Малоимущие не хотят учиться,1
В смерти нет страданий,2
Добавил новое фото,4
Это правильный путь,2
Мэры казнокрады местного масштаба,1
Пакистанцы — террористы,1
ЦРУ управляло протестами,3
Музыканты наркоманы-алкоголики,1
